,imo,created_at,updated_at,created_by_id,updated_by_id,adjusted_date,speed,mean_draft,sea_state,me_actual_steaming_time,ae_t_steaming,aux_running,blr_running,distance,actual_total_fo,total_co_2,activity_time,status,derived_rpm,slip
0,9235581,,,,,2017-07-09,7.27,6.7,3.0,1.1,2.2,2,0,8.0,1.3,4.05,1.1,SAIL,30.4291337596205,0.0
1,9235581,,,,,2017-07-09,18.0,6.7,3.0,11.0,11.0,1,0,198.0,26.5,82.52,11.0,SAIL,75.3121060550608,1.84
2,9235581,,,,,2017-07-09,17.02,6.7,2.0,12.1,21.0,2,0,206.0,30.0,93.62,12.1,SAIL,71.2318358463844,1.84
3,9235581,,,,,2017-07-09,0.0,6.7,0.0,0.0,7.8,2,0,0.0,2.2,7.05,0.0,PORT,0.0,0.0
4,9235581,,,,,2017-07-10,7.5,6.7,0.0,3.2,6.4,2,0,24.0,4.0,12.46,3.2,SAIL,31.3800441896087,0.0
5,9235581,,,,,2017-07-10,17.27,6.7,3.0,11.0,0.0,0,0,189.97,25.8,80.34,11.0,SAIL,72.2577817539389,1.78
6,9235581,,,,,2017-07-10,15.07,7.0,1.0,14.2,17.7,2,0,213.97,33.1,103.07,24.0,SAIL,63.0458972323997,1.78
7,9235581,,,,,2017-07-10,0.0,7.6,0.0,0.0,11.3,3,0,0.0,3.3,10.28,9.8,PORT,0.0,0.0
8,9235581,,,,,2017-07-11,9.41,7.6,3.0,1.7,3.4,2,0,16.0,3.2,9.96,1.7,SAIL,39.3788789830383,0.0
9,9235581,,,,,2017-07-11,17.3,7.6,3.0,21.8,21.8,1,0,377.14,72.5,225.76,21.8,SAIL,72.3833019306973,0.0
10,9235581,,,,,2017-07-11,16.73,7.6,3.0,23.5,25.2,2,0,393.14,75.7,235.73,23.5,SAIL,69.9957479302284,0.0
11,9235581,,,,,2017-07-12,10.0,6.0,0.0,0.2,0.4,2,0,2.0,0.5,1.56,0.2,SAIL,41.8400589194782,0.0
12,9235581,,,,,2017-07-12,10.0,6.0,3.0,2.6,5.2,2,0,26.0,3.6,11.21,2.6,SAIL,41.8400589194782,0.0
13,9235581,,,,,2017-07-12,8.57,7.6,0.0,4.2,8.4,2,0,36.0,7.0,21.8,4.2,SAIL,35.862907645267,0.0
14,9235581,,,,,2017-07-12,14.7,6.0,3.0,1.5,1.5,1,0,22.05,4.5,14.01,1.5,SAIL,61.504886611633,13.43
15,9235581,,,,,2017-07-12,10.12,6.32,1.2,8.5,23.9,2,0,86.05,18.4,57.56,16.9,SAIL,42.3569067061306,13.43
16,9235581,,,,,2017-07-12,0.0,6.0,0.0,0.0,8.4,1,0,0.0,2.8,8.98,8.4,PORT,0.0,0.0
17,9235581,,,,,2017-07-13,6.21,5.4,0.0,11.6,18.0,2,0,72.0,14.5,45.15,11.6,SAIL,25.9696917431244,0.0
18,9235581,,,,,2017-07-13,6.21,5.4,0.0,11.6,41.0,3,0,72.0,20.5,64.39,31.6,SAIL,25.9696917431244,0.0
19,9235581,,,,,2017-07-13,0.0,5.4,0.0,0.0,23.0,4,0,0.0,6.0,19.24,20.0,PORT,0.0,0.0
20,9235581,,,,,2017-07-14,0.0,5.4,0.0,0.0,24.0,1,0,0.0,3.8,12.18,24.0,PORT,0.0,0.0
21,9235581,,,,,2017-07-15,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.1,6.73,24.0,PORT,0.0,0.0
22,9235581,,,,,2017-07-16,0.0,5.4,0.0,0.0,24.0,1,0,0.0,1.9,6.09,24.0,PORT,0.0,0.0
23,9235581,,,,,2017-07-17,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.0,6.41,24.0,PORT,0.0,0.0
24,9235581,,,,,2017-07-18,0.0,5.4,0.0,0.0,24.0,1,0,0.0,1.8,5.77,24.0,PORT,0.0,0.0
25,9235581,,,,,2017-07-19,0.0,5.4,0.0,0.0,24.0,1,0,0.0,1.8,5.77,24.0,PORT,0.0,0.0
26,9235581,,,,,2017-07-20,0.0,5.4,0.0,0.0,24.0,1,0,0.0,1.9,6.09,24.0,PORT,0.0,0.0
27,9235581,,,,,2017-07-21,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.0,6.41,24.0,PORT,0.0,0.0
28,9235581,,,,,2017-07-22,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.0,6.41,24.0,PORT,0.0,0.0
29,9235581,,,,,2017-07-23,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.2,7.05,24.0,PORT,0.0,0.0
30,9235581,,,,,2017-07-24,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.3,7.37,24.0,PORT,0.0,0.0
31,9235581,,,,,2017-07-25,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.5,8.02,24.0,PORT,0.0,0.0
32,9235581,,,,,2017-07-26,0.0,5.4,0.0,0.0,24.0,1,0,0.0,2.6,8.34,24.0,PORT,0.0,0.0
33,9235581,,,,,2017-07-27,0.0,5.4,0.0,0.0,15.5,2,0,0.0,1.4,4.49,24.0,PORT,0.0,0.0
34,9235581,,,,,2017-07-28,0.0,5.4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,24.0,PORT,0.0,0.0
35,9235581,,,,,2017-07-29,0.0,5.4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,24.0,PORT,0.0,0.0
